team_id,league_id,full_name
1,0,Boston Celtics
2,0,Denver Nuggets
3,0,Cleveland Cavaliers
4,0,Chicago Bulls
5,0,Golden State Warriors
6,0,Dallas Mavericks
7,0,New Orleans Pelicans
8,0,Houston Rockets
9,0,Miami Heat
10,0,Philadelphia 76ers
11,0,Oklahoma City Thunder
12,0,Toronto Raptors
13,0,Sacramento Kings
14,0,San Antonio Spurs
15,0,Washington Wizards
16,0,Detroit Pistons
17,0,Utah Jazz
18,0,Memphis Grizzlies
19,0,Charlotte Hornets
20,0,Milwaukee Bucks
21,0,Brooklyn Nets
22,0,Los Angeles Clippers
23,0,New York Knicks
24,0,Los Angeles Lakers
25,0,Minnesota Timberwolves
26,0,Phoenix Suns
27,0,Orlando Magic
28,0,Portland Trail Blazers
29,0,Indiana Pacers
30,0,Atlanta Hawks
